State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
RI,Northeast,New England,Bristol County,44001,44001,Region 12,1/1/2014,4543.0,0.087,2.8,2.9,0.06,0.133,0.203,7.675,0.213,0.802,0.17,0.375,148.6,7.8,0.09,175.0,35.0,139.0,51.77,0.86,0.72,0.922,0.763,0.08900000000000001,0.091,,0.16899999999999998,,81.58,51.1,10.26,0.0,0.179,0.8079999999999999,0.389,49144,0.024,0.011000000000000001,0.062,54.4,243.4,,,0.115,0.11599999999999999,6.73,12.35,0.113,0.027000000000000003,8579.0,0.077,18.0,64572,0.139,,0.19699999999999998
RI,Northeast,New England,Bristol County,44001,44001,Region 12,1/1/2015,3891.0,0.087,2.8,2.9,0.06,0.133,0.207,7.4,0.203,0.9109999999999999,0.17,0.28600000000000003,136.3,7.3,0.092,183.0,37.0,185.0,48.88,0.89,0.72,0.8959999999999999,0.7759999999999999,0.08,0.091,4.853,0.161,9.971,84.98,57.7,10.26,0.0,0.175,0.8170000000000001,0.41100000000000003,49220,0.025,0.011000000000000001,0.073,54.4,210.8,,,0.11800000000000001,0.11599999999999999,5.97,11.67,0.11,0.044000000000000004,8355.0,0.077,16.0,68415,0.155,,
RI,Northeast,New England,Kent County,44003,44003,Region 12,1/1/2014,6313.0,0.122,3.8,4.0,0.07,0.188,0.27699999999999997,8.09,0.254,0.8740000000000001,0.204,0.483,209.6,20.9,0.08900000000000001,71.0,69.0,195.0,71.96,0.84,0.69,0.833,0.6759999999999999,0.099,0.11599999999999999,,0.285,,125.24,61.6,10.27,0.0,0.17600000000000002,0.86,0.297,164843,0.009000000000000001,0.08,0.08900000000000001,81.6,326.8,5.7,43.3,0.125,0.057,7.99,15.55,0.11,0.027000000000000003,9890.0,0.105,61.0,59682,0.223,1.44,0.187
RI,Northeast,New England,Kent County,44003,44003,Region 12,1/1/2015,6458.0,0.122,3.8,4.0,0.07,0.188,0.26899999999999996,7.8,0.23199999999999998,0.95,0.204,0.473,223.8,19.6,0.09699999999999999,74.0,71.0,252.0,59.41,0.84,0.68,0.82,0.6940000000000001,0.08900000000000001,0.113,4.341,0.28300000000000003,9.646,120.6,65.4,10.27,0.248,0.17800000000000002,0.867,0.303,165035,0.01,0.08,0.09300000000000001,81.6,323.6,5.9,49.6,0.128,0.057,8.83,18.94,0.114,0.046,9621.0,0.105,68.0,63232,0.23,1.3,
RI,Northeast,New England,Newport County,44005,44005,Region 12,1/1/2014,4457.0,0.109,2.9,3.0,0.07,0.126,0.22,7.89,0.2,0.8290000000000001,0.209,0.429,189.9,15.5,0.098,88.0,85.0,230.0,56.8,0.86,0.69,0.8240000000000001,0.7709999999999999,0.09300000000000001,0.14300000000000002,,0.287,,199.77,48.8,10.18,0.313,0.163,0.7929999999999999,0.267,82036,0.013000000000000001,0.121,0.077,131.9,244.8,4.4,29.9,0.133,0.061,7.51,12.29,0.11900000000000001,0.033,8897.0,0.09,30.0,63434,0.222,,0.17600000000000002
RI,Northeast,New England,Newport County,44005,44005,Region 12,1/1/2015,4730.0,0.109,2.9,3.0,0.07,0.126,0.213,7.6,0.191,0.9009999999999999,0.209,0.5,236.5,15.0,0.10099999999999999,87.0,90.0,283.0,47.57,0.85,0.68,0.836,0.76,0.08800000000000001,0.134,4.404,0.284,12.068,187.28,50.6,10.18,0.261,0.166,0.773,0.285,82397,0.016,0.121,0.081,131.9,254.1,3.7,32.7,0.134,0.061,6.71,10.33,0.11800000000000001,0.048,8149.0,0.09,33.0,67291,0.23,,
RI,Northeast,New England,Providence County,44007,44007,Region 12,1/1/2014,6468.0,0.154,3.8,3.7,0.08,0.171,0.273,7.263999999999999,0.27399999999999997,0.956,0.18100000000000002,0.395,527.7,33.7,0.153,91.0,55.0,312.0,71.78,0.86,0.65,0.725,0.597,0.11199999999999999,0.262,,0.428,,341.24,58.1,10.35,0.09300000000000001,0.21899999999999997,0.7759999999999999,0.27399999999999997,628323,0.07200000000000001,0.055,0.08900000000000001,312.3,333.9,7.0,57.3,0.172,0.046,7.9,15.67,0.19,0.049,9480.0,0.125,88.0,47601,0.484,4.1,0.22899999999999998
RI,Northeast,New England,Providence County,44007,44007,Region 12,1/1/2015,6124.0,0.154,3.8,3.7,0.08,0.171,0.278,7.0,0.264,0.9690000000000001,0.18100000000000002,0.38,532.7,32.4,0.15,93.0,58.0,389.0,61.59,0.86,0.65,0.727,0.606,0.102,0.285,5.638,0.447,9.772,344.76,61.3,10.35,0.135,0.22399999999999998,0.773,0.278,628600,0.07,0.055,0.094,312.3,319.1,6.9,53.6,0.16699999999999998,0.046,6.94,17.51,0.182,0.057999999999999996,8983.0,0.125,93.0,47642,0.48700000000000004,3.7,
RI,Northeast,New England,Washington County,44009,44009,Region 12,1/1/2014,4961.0,0.092,3.1,3.2,0.07,0.141,0.226,8.061,0.20199999999999999,0.8220000000000001,0.22399999999999998,0.439,204.6,9.5,0.086,95.0,49.0,200.0,53.32,0.87,0.72,0.867,0.7390000000000001,0.08900000000000001,0.114,,0.245,,82.24,52.3,10.21,0.174,0.147,0.8320000000000001,0.373,125946,0.006999999999999999,0.308,0.068,56.6,265.3,6.5,37.1,0.111,0.087,8.99,10.56,0.105,0.031,8776.0,0.08800000000000001,39.0,69150,0.172,,0.157
RI,Northeast,New England,Washington County,44009,44009,Region 12,1/1/2015,4939.0,0.092,3.1,3.2,0.06,0.141,0.22899999999999998,7.7,0.193,0.922,0.22399999999999998,0.43799999999999994,266.8,8.8,0.092,94.0,52.0,273.0,43.58,0.85,0.73,0.8540000000000001,0.746,0.081,0.105,4.2330000000000005,0.257,11.989,73.64,59.6,10.21,0.047,0.14300000000000002,0.838,0.377,126259,0.006999999999999999,0.308,0.07400000000000001,56.6,253.1,5.8,25.1,0.11599999999999999,0.087,9.58,13.18,0.107,0.047,8212.0,0.08800000000000001,49.0,69267,0.177,,
